Sequence	Position	P start	P occupied
TEMP	12848	0.0211	0.554
TEMP	12849	0.0189	0.571
TEMP	12850	0.0176	0.586
TEMP	12851	0.0142	0.599
TEMP	12852	0.0145	0.611
TEMP	12853	0.0112	0.620
TEMP	12854	0.0109	0.628
TEMP	12855	0.00869	0.635
TEMP	12856	0.00709	0.640
TEMP	12857	0.00739	0.646
TEMP	12858	0.00701	0.651
TEMP	12859	0.00629	0.656
TEMP	12860	0.00696	0.662
TEMP	12861	0.00556	0.667
TEMP	12862	0.00495	0.671
TEMP	12863	0.00589	0.676
TEMP	12864	0.00804	0.683
TEMP	12865	0.0124	0.695
TEMP	12866	0.0207	0.716
TEMP	12867	0.0182	0.733
TEMP	12868	0.00933	0.742
TEMP	12869	0.00412	0.746
TEMP	12870	0.00206	0.748
TEMP	12871	0.0015	0.749
TEMP	12872	0.00165	0.750
TEMP	12873	0.00234	0.752
TEMP	12874	0.00469	0.757
TEMP	12875	0.00789	0.764
TEMP	12876	0.00893	0.773
TEMP	12877	0.00698	0.779
TEMP	12878	0.00225	0.781
TEMP	12879	0.000949	0.782
TEMP	12880	0.000651	0.782
TEMP	12881	0.000556	0.783
TEMP	12882	0.000906	0.783
TEMP	12883	0.0017	0.785
TEMP	12884	0.00318	0.788
TEMP	12885	0.00719	0.795
TEMP	12886	0.0095	0.804
TEMP	12887	0.00991	0.814
TEMP	12888	0.0048	0.819
TEMP	12889	0.00138	0.820
TEMP	12890	0.000419	0.821
TEMP	12891	0.000184	0.821
TEMP	12892	0.000192	0.821
TEMP	12893	0.000301	0.821
TEMP	12894	0.000764	0.822
TEMP	12895	0.00167	0.823
TEMP	12896	0.00271	0.826
TEMP	12897	0.00219	0.828
TEMP	12898	0.0011	0.828
TEMP	12899	0.000481	0.829
TEMP	12900	0.000198	0.829
TEMP	12901	9.37e-05	0.828
TEMP	12902	8.6e-05	0.828
TEMP	12903	0.000142	0.828
TEMP	12904	0.000389	0.829
TEMP	12905	0.00121	0.830
TEMP	12906	0.00222	0.832
TEMP	12907	0.00221	0.834
TEMP	12908	0.00132	0.835
TEMP	12909	0.000589	0.835
TEMP	12910	0.000343	0.834
TEMP	12911	0.000244	0.834
TEMP	12912	0.000242	0.834
TEMP	12913	0.000305	0.834
TEMP	12914	0.000594	0.834
TEMP	12915	0.000802	0.835
TEMP	12916	0.00111	0.836
TEMP	12917	0.00121	0.837
TEMP	12918	0.000652	0.837
TEMP	12919	0.000454	0.838
TEMP	12920	0.000307	0.837
TEMP	12921	0.000332	0.837
TEMP	12922	0.000406	0.837
TEMP	12923	0.00054	0.837
TEMP	12924	0.000845	0.838
TEMP	12925	0.00167	0.839
TEMP	12926	0.00237	0.841
TEMP	12927	0.00248	0.843
TEMP	12928	0.0021	0.845
TEMP	12929	0.00109	0.844
TEMP	12930	0.000655	0.842
TEMP	12931	0.000497	0.838
TEMP	12932	0.00048	0.834
TEMP	12933	0.0011	0.832
TEMP	12934	0.00293	0.833
TEMP	12935	0.00616	0.839
TEMP	12936	0.00716	0.845
TEMP	12937	0.00507	0.849
TEMP	12938	0.00269	0.850
TEMP	12939	0.00111	0.846
TEMP	12940	0.000732	0.837
TEMP	12941	0.000463	0.822
TEMP	12942	0.000716	0.806
TEMP	12943	0.00135	0.798
TEMP	12944	0.00207	0.796
TEMP	12945	0.00256	0.796
TEMP	12946	0.00373	0.798
TEMP	12947	0.00413	0.801
TEMP	12948	0.00337	0.804
TEMP	12949	0.00281	0.806
TEMP	12950	0.00166	0.807
TEMP	12951	0.00109	0.806
TEMP	12952	0.000523	0.804
TEMP	12953	0.000376	0.802
TEMP	12954	0.000515	0.800
TEMP	12955	0.000933	0.799
TEMP	12956	0.00162	0.799
TEMP	12957	0.00291	0.802
TEMP	12958	0.00371	0.805
TEMP	12959	0.00327	0.808
TEMP	12960	0.00207	0.810
TEMP	12961	0.0016	0.811
TEMP	12962	0.00115	0.810
TEMP	12963	0.000885	0.800
TEMP	12964	0.00119	0.779
TEMP	12965	0.00199	0.754
TEMP	12966	0.00291	0.743
TEMP	12967	0.00288	0.739
TEMP	12968	0.00273	0.739
TEMP	12969	0.00205	0.737
TEMP	12970	0.00223	0.736
TEMP	12971	0.00211	0.733
TEMP	12972	0.00218	0.723
TEMP	12973	0.00212	0.705
TEMP	12974	0.00238	0.674
TEMP	12975	0.00237	0.639
TEMP	12976	0.00334	0.614
TEMP	12977	0.00316	0.599
TEMP	12978	0.00273	0.591
TEMP	12979	0.00335	0.588
TEMP	12980	0.00325	0.588
TEMP	12981	0.00396	0.590
TEMP	12982	0.00493	0.594
TEMP	12983	0.00563	0.598
TEMP	12984	0.00612	0.600
TEMP	12985	0.00663	0.599
TEMP	12986	0.00614	0.595
TEMP	12987	0.00489	0.585
TEMP	12988	0.00447	0.580
TEMP	12989	0.00387	0.577
TEMP	12990	0.00306	0.574
TEMP	12991	0.00447	0.573
TEMP	12992	0.0056	0.567
TEMP	12993	0.00779	0.560
TEMP	12994	0.00888	0.548
TEMP	12995	0.0141	0.541
TEMP	12996	0.0143	0.536
TEMP	12997	0.0172	0.536
TEMP	12998	0.00918	0.531
TEMP	12999	0.00672	0.523
TEMP	13000	0.00427	0.516
TEMP	13001	0.00353	0.509
TEMP	13002	0.00492	0.505
TEMP	13003	0.00595	0.504
TEMP	13004	0.00725	0.503
TEMP	13005	0.0112	0.508
TEMP	13006	0.0125	0.514
TEMP	13007	0.013	0.520
TEMP	13008	0.00843	0.523
TEMP	13009	0.00661	0.524
TEMP	13010	0.00456	0.523
TEMP	13011	0.00348	0.519
TEMP	13012	0.0034	0.510
TEMP	13013	0.00336	0.492
TEMP	13014	0.00692	0.481
TEMP	13015	0.00858	0.480
TEMP	13016	0.00764	0.484
TEMP	13017	0.00767	0.489
TEMP	13018	0.00544	0.493
TEMP	13019	0.00333	0.495
TEMP	13020	0.00274	0.495
TEMP	13021	0.00253	0.493
TEMP	13022	0.00177	0.487
TEMP	13023	0.00153	0.480
TEMP	13024	0.00128	0.474
TEMP	13025	0.00137	0.473
TEMP	13026	0.00178	0.474
TEMP	13027	0.00184	0.475
TEMP	13028	0.00206	0.477
TEMP	13029	0.00226	0.478
TEMP	13030	0.00292	0.479
TEMP	13031	0.00247	0.478
TEMP	13032	0.00168	0.473
TEMP	13033	0.00133	0.465
TEMP	13034	0.000942	0.456
TEMP	13035	0.00136	0.452
TEMP	13036	0.00233	0.453
TEMP	13037	0.00311	0.456
TEMP	13038	0.00335	0.459
TEMP	13039	0.00292	0.462
TEMP	13040	0.00198	0.464
TEMP	13041	0.00166	0.464
TEMP	13042	0.00181	0.465
TEMP	13043	0.00213	0.464
TEMP	13044	0.00336	0.465
TEMP	13045	0.00321	0.467
TEMP	13046	0.00331	0.470
TEMP	13047	0.00177	0.472
TEMP	13048	0.0011	0.473
TEMP	13049	0.000594	0.473
TEMP	13050	0.000579	0.474
TEMP	13051	0.000699	0.474
TEMP	13052	0.00104	0.474
TEMP	13053	0.00167	0.473
TEMP	13054	0.00252	0.474
TEMP	13055	0.00313	0.475
TEMP	13056	0.00325	0.478
TEMP	13057	0.00335	0.481
TEMP	13058	0.0021	0.483
TEMP	13059	0.00106	0.484
TEMP	13060	0.000519	0.484
TEMP	13061	0.000287	0.484
TEMP	13062	0.00024	0.483
TEMP	13063	0.000416	0.482
TEMP	13064	0.000696	0.482
TEMP	13065	0.0011	0.482
TEMP	13066	0.00181	0.484
TEMP	13067	0.00204	0.485
TEMP	13068	0.00179	0.487
TEMP	13069	0.0022	0.489
TEMP	13070	0.00278	0.491
TEMP	13071	0.00332	0.493
TEMP	13072	0.00234	0.494
TEMP	13073	0.00185	0.493
TEMP	13074	0.00185	0.493
TEMP	13075	0.00184	0.493
TEMP	13076	0.00239	0.494
TEMP	13077	0.00363	0.497
TEMP	13078	0.00451	0.501
TEMP	13079	0.00586	0.506
TEMP	13080	0.00388	0.509
TEMP	13081	0.00243	0.509
TEMP	13082	0.0013	0.504
TEMP	13083	0.0014	0.498
TEMP	13084	0.00168	0.495
TEMP	13085	0.00331	0.495
TEMP	13086	0.00709	0.501
TEMP	13087	0.00868	0.509
TEMP	13088	0.00822	0.517
TEMP	13089	0.00572	0.522
TEMP	13090	0.00389	0.524
TEMP	13091	0.00257	0.525
TEMP	13092	0.00221	0.525
TEMP	13093	0.00167	0.522
TEMP	13094	0.00149	0.520
TEMP	13095	0.00123	0.518
TEMP	13096	0.00132	0.516
TEMP	13097	0.00189	0.516
TEMP	13098	0.00293	0.518
TEMP	13099	0.00294	0.521
TEMP	13100	0.00418	0.525
TEMP	13101	0.00566	0.530
TEMP	13102	0.00652	0.535
TEMP	13103	0.00681	0.540
TEMP	13104	0.00799	0.546
TEMP	13105	0.00729	0.549
TEMP	13106	0.00472	0.551
TEMP	13107	0.00301	0.551
TEMP	13108	0.00186	0.552
TEMP	13109	0.00153	0.552
TEMP	13110	0.00102	0.552
TEMP	13111	0.00119	0.552
TEMP	13112	0.00159	0.552
TEMP	13113	0.00256	0.552
TEMP	13114	0.00339	0.552
TEMP	13115	0.00375	0.553
TEMP	13116	0.00434	0.555
TEMP	13117	0.00383	0.557
TEMP	13118	0.00292	0.558
TEMP	13119	0.00246	0.558
TEMP	13120	0.00186	0.558
TEMP	13121	0.00117	0.557
TEMP	13122	0.00106	0.555
TEMP	13123	0.00114	0.553
TEMP	13124	0.00208	0.552
TEMP	13125	0.00328	0.553
TEMP	13126	0.00637	0.556
TEMP	13127	0.00524	0.558
TEMP	13128	0.00303	0.557
TEMP	13129	0.0016	0.553
TEMP	13130	0.00071	0.548
TEMP	13131	0.000452	0.543
TEMP	13132	0.000626	0.537
TEMP	13133	0.00112	0.532
TEMP	13134	0.00261	0.529
TEMP	13135	0.00513	0.530
TEMP	13136	0.00645	0.533
TEMP	13137	0.00602	0.536
TEMP	13138	0.00478	0.536
TEMP	13139	0.00239	0.533
TEMP	13140	0.00139	0.526
TEMP	13141	0.00114	0.519
TEMP	13142	0.000821	0.505
TEMP	13143	0.000645	0.492
TEMP	13144	0.000848	0.475
TEMP	13145	0.00107	0.467
TEMP	13146	0.00163	0.462
TEMP	13147	0.00309	0.461
TEMP	13148	0.00465	0.462
TEMP	13149	0.00456	0.462
TEMP	13150	0.00372	0.459
TEMP	13151	0.00249	0.455
TEMP	13152	0.00207	0.445
TEMP	13153	0.00258	0.436
TEMP	13154	0.00316	0.426
TEMP	13155	0.00448	0.422
TEMP	13156	0.00623	0.421
TEMP	13157	0.00701	0.424
TEMP	13158	0.00463	0.425
TEMP	13159	0.0028	0.424
TEMP	13160	0.00132	0.422
TEMP	13161	0.00114	0.417
TEMP	13162	0.00129	0.409
TEMP	13163	0.00288	0.405
TEMP	13164	0.00669	0.404
TEMP	13165	0.00905	0.407
TEMP	13166	0.012	0.416
TEMP	13167	0.00819	0.421
TEMP	13168	0.00728	0.426
TEMP	13169	0.00625	0.431
TEMP	13170	0.00491	0.434
TEMP	13171	0.00658	0.439
TEMP	13172	0.00773	0.446
TEMP	13173	0.00591	0.450
TEMP	13174	0.00959	0.457
TEMP	13175	0.0102	0.466
TEMP	13176	0.0141	0.477
TEMP	13177	0.0192	0.494
TEMP	13178	0.0216	0.513
TEMP	13179	0.021	0.532
TEMP	13180	0.0167	0.548
TEMP	13181	0.0072	0.554
TEMP	13182	0.00569	0.558
TEMP	13183	0.00513	0.561
TEMP	13184	0.00735	0.565
TEMP	13185	0.0149	0.577
TEMP	13186	0.021	0.595
TEMP	13187	0.025	0.618
TEMP	13188	0.0209	0.637
TEMP	13189	0.0132	0.648
TEMP	13190	0.0081	0.654
TEMP	13191	0.00562	0.657
TEMP	13192	0.00402	0.657
TEMP	13193	0.00287	0.657
TEMP	13194	0.00257	0.658
TEMP	13195	0.00424	0.661
TEMP	13196	0.00615	0.667
TEMP	13197	0.00967	0.676
TEMP	13198	0.0114	0.686
TEMP	13199	0.00839	0.694
TEMP	13200	0.00538	0.697
TEMP	13201	0.00334	0.698
TEMP	13202	0.00261	0.698
TEMP	13203	0.00303	0.697
TEMP	13204	0.00525	0.699
TEMP	13205	0.00545	0.703
TEMP	13206	0.00667	0.708
TEMP	13207	0.00543	0.713
TEMP	13208	0.00425	0.717
TEMP	13209	0.00282	0.720
TEMP	13210	0.00289	0.722
TEMP	13211	0.00262	0.724
TEMP	13212	0.00253	0.726
TEMP	13213	0.00254	0.726
TEMP	13214	0.00232	0.727
TEMP	13215	0.00295	0.728
TEMP	13216	0.00404	0.730
TEMP	13217	0.00499	0.732
TEMP	13218	0.00618	0.735
TEMP	13219	0.00782	0.740
TEMP	13220	0.00506	0.743
TEMP	13221	0.00439	0.746
TEMP	13222	0.00364	0.748
TEMP	13223	0.00306	0.748
TEMP	13224	0.00386	0.749
TEMP	13225	0.00496	0.749
TEMP	13226	0.00705	0.750
TEMP	13227	0.0112	0.758
TEMP	13228	0.0106	0.766
TEMP	13229	0.00646	0.771
TEMP	13230	0.00317	0.773
TEMP	13231	0.00161	0.773
TEMP	13232	0.000942	0.770
TEMP	13233	0.000837	0.764
TEMP	13234	0.00139	0.757
TEMP	13235	0.00187	0.750
TEMP	13236	0.00202	0.747
TEMP	13237	0.00315	0.746
TEMP	13238	0.00337	0.747
TEMP	13239	0.00268	0.747
TEMP	13240	0.00387	0.749
TEMP	13241	0.00318	0.751
TEMP	13242	0.0043	0.754
TEMP	13243	0.00906	0.762
TEMP	13244	0.0121	0.772
TEMP	13245	0.0211	0.790
TEMP	13246	0.0333	0.821
TEMP	13247	0.0204	0.837
TEMP	13248	0.0164	0.848
TEMP	13249	0.00756	0.849
TEMP	13250	0.00653	0.848
TEMP	13251	0.00533	0.846
TEMP	13252	0.00451	0.843
TEMP	13253	0.00501	0.843
TEMP	13254	0.00617	0.846
TEMP	13255	0.00536	0.850
TEMP	13256	0.00618	0.854
TEMP	13257	0.0047	0.858
TEMP	13258	0.00424	0.861
TEMP	13259	0.00326	0.863
TEMP	13260	0.00223	0.863
TEMP	13261	0.00173	0.861
TEMP	13262	0.00152	0.859
TEMP	13263	0.00186	0.856
TEMP	13264	0.0019	0.854
TEMP	13265	0.00268	0.854
TEMP	13266	0.00485	0.856
TEMP	13267	0.00653	0.861
TEMP	13268	0.00463	0.865
TEMP	13269	0.00317	0.867
TEMP	13270	0.00142	0.867
TEMP	13271	0.000896	0.866
TEMP	13272	0.000852	0.863
TEMP	13273	0.00129	0.858
TEMP	13274	0.0022	0.855
TEMP	13275	0.00434	0.856
TEMP	13276	0.007	0.862
TEMP	13277	0.00768	0.869
TEMP	13278	0.0069	0.875
TEMP	13279	0.00672	0.881
TEMP	13280	0.00671	0.887
TEMP	13281	0.00535	0.890
TEMP	13282	0.00311	0.888
TEMP	13283	0.00146	0.883
TEMP	13284	0.00142	0.878
TEMP	13285	0.00131	0.875
TEMP	13286	0.00125	0.874
TEMP	13287	0.00122	0.873
TEMP	13288	0.00164	0.874
TEMP	13289	0.00243	0.875
TEMP	13290	0.00277	0.878
TEMP	13291	0.00333	0.880
TEMP	13292	0.00291	0.882
TEMP	13293	0.00288	0.883
TEMP	13294	0.00243	0.882
TEMP	13295	0.00175	0.880
TEMP	13296	0.00148	0.877
TEMP	13297	0.00147	0.874
TEMP	13298	0.00111	0.873
TEMP	13299	0.000861	0.872
TEMP	13300	0.000534	0.870
TEMP	13301	0.000381	0.867
TEMP	13302	0.000339	0.863
TEMP	13303	0.00045	0.857
TEMP	13304	0.000692	0.851
TEMP	13305	0.00151	0.847
TEMP	13306	0.0032	0.848
TEMP	13307	0.0039	0.850
TEMP	13308	0.00531	0.855
TEMP	13309	0.00745	0.861
TEMP	13310	0.00426	0.862
TEMP	13311	0.00308	0.859
TEMP	13312	0.00202	0.852
TEMP	13313	0.00236	0.842
TEMP	13314	0.00406	0.838
TEMP	13315	0.00529	0.836
TEMP	13316	0.00566	0.835
TEMP	13317	0.00372	0.834
TEMP	13318	0.00169	0.829
TEMP	13319	0.000766	0.822
TEMP	13320	0.000521	0.817
TEMP	13321	0.000444	0.808
TEMP	13322	0.000634	0.798
TEMP	13323	0.00104	0.785
TEMP	13324	0.00202	0.768
TEMP	13325	0.00319	0.749
TEMP	13326	0.00275	0.731
TEMP	13327	0.00235	0.717
TEMP	13328	0.00145	0.711
TEMP	13329	0.000988	0.706
TEMP	13330	0.000866	0.702
TEMP	13331	0.000484	0.695
TEMP	13332	0.000254	0.681
TEMP	13333	0.000121	0.660
TEMP	13334	7.14e-05	0.635
TEMP	13335	0.000106	0.614
TEMP	13336	0.00022	0.601
TEMP	13337	0.000671	0.594
TEMP	13338	0.00191	0.590
TEMP	13339	0.00387	0.590
TEMP	13340	0.00375	0.591
TEMP	13341	0.0028	0.591
TEMP	13342	0.00211	0.589
TEMP	13343	0.00234	0.585
TEMP	13344	0.00203	0.577
TEMP	13345	0.00187	0.568
TEMP	13346	0.0013	0.561
TEMP	13347	0.000791	0.556
TEMP	13348	0.000573	0.553
TEMP	13349	0.000498	0.551
TEMP	13350	0.000513	0.549
TEMP	13351	0.000692	0.544
TEMP	13352	0.000942	0.540
TEMP	13353	0.00114	0.534
TEMP	13354	0.00176	0.530
TEMP	13355	0.0038	0.530
TEMP	13356	0.00412	0.531
TEMP	13357	0.00308	0.531
TEMP	13358	0.00253	0.531
TEMP	13359	0.00207	0.531
TEMP	13360	0.00141	0.530
TEMP	13361	0.000888	0.528
TEMP	13362	0.000759	0.526
TEMP	13363	0.0012	0.523
TEMP	13364	0.00154	0.520
TEMP	13365	0.00192	0.516
TEMP	13366	0.00181	0.510
TEMP	13367	0.00148	0.506
TEMP	13368	0.00165	0.503
TEMP	13369	0.00163	0.501
TEMP	13370	0.00271	0.501
TEMP	13371	0.00764	0.505
TEMP	13372	0.0136	0.513
TEMP	13373	0.0166	0.523
TEMP	13374	0.0118	0.523
TEMP	13375	0.00588	0.519
TEMP	13376	0.00405	0.516
TEMP	13377	0.00273	0.516
TEMP	13378	0.0027	0.517
TEMP	13379	0.00313	0.519
TEMP	13380	0.00323	0.522
TEMP	13381	0.00373	0.524
TEMP	13382	0.00386	0.526
TEMP	13383	0.00616	0.530
TEMP	13384	0.00819	0.535
TEMP	13385	0.0131	0.545
TEMP	13386	0.0125	0.555
TEMP	13387	0.00859	0.559
TEMP	13388	0.00523	0.561
TEMP	13389	0.00225	0.559
TEMP	13390	0.00172	0.552
TEMP	13391	0.00175	0.542
TEMP	13392	0.00295	0.523
TEMP	13393	0.0038	0.494
TEMP	13394	0.0056	0.479
TEMP	13395	0.00587	0.469
TEMP	13396	0.00357	0.465
TEMP	13397	0.00246	0.461
TEMP	13398	0.0025	0.458
TEMP	13399	0.0023	0.456
TEMP	13400	0.00237	0.453
TEMP	13401	0.00331	0.450
TEMP	13402	0.0043	0.449
TEMP	13403	0.0047	0.447
TEMP	13404	0.00825	0.451
TEMP	13405	0.0108	0.458
TEMP	13406	0.00835	0.463
TEMP	13407	0.00599	0.466
TEMP	13408	0.00261	0.467
TEMP	13409	0.00156	0.467
TEMP	13410	0.00144	0.467
TEMP	13411	0.00277	0.468
TEMP	13412	0.00595	0.471
TEMP	13413	0.0146	0.481
TEMP	13414	0.0157	0.490
TEMP	13415	0.0121	0.497
TEMP	13416	0.00658	0.501
TEMP	13417	0.00448	0.504
TEMP	13418	0.00336	0.506
TEMP	13419	0.00272	0.508
TEMP	13420	0.0031	0.510
TEMP	13421	0.00388	0.512
TEMP	13422	0.00527	0.513
TEMP	13423	0.00613	0.512
TEMP	13424	0.0083	0.512
TEMP	13425	0.00996	0.516
TEMP	13426	0.0146	0.523
TEMP	13427	0.0105	0.527
TEMP	13428	0.00611	0.528
TEMP	13429	0.00355	0.528
TEMP	13430	0.00247	0.529
TEMP	13431	0.00248	0.530
TEMP	13432	0.00422	0.533
TEMP	13433	0.00655	0.539
TEMP	13434	0.0118	0.549
TEMP	13435	0.0129	0.561
TEMP	13436	0.0102	0.568
TEMP	13437	0.00551	0.571
TEMP	13438	0.00388	0.572
TEMP	13439	0.00475	0.573
TEMP	13440	0.00652	0.577
TEMP	13441	0.00952	0.584
TEMP	13442	0.0112	0.594
TEMP	13443	0.00745	0.600
TEMP	13444	0.00394	0.602
TEMP	13445	0.00245	0.603
TEMP	13446	0.00146	0.604
TEMP	13447	0.00176	0.605
TEMP	13448	0.00299	0.608
TEMP	13449	0.00513	0.613
TEMP	13450	0.0121	0.624
TEMP	13451	0.0195	0.643
TEMP	13452	0.0276	0.669
TEMP	13453	0.0255	0.691
TEMP	13454	0.0132	0.701
TEMP	13455	0.00627	0.702
TEMP	13456	0.00244	0.697
TEMP	13457	0.00146	0.694
TEMP	13458	0.00139	0.692
TEMP	13459	0.002	0.692
TEMP	13460	0.00439	0.694
TEMP	13461	0.0111	0.701
TEMP	13462	0.0242	0.720
TEMP	13463	0.0341	0.749
TEMP	13464	0.0212	0.766
TEMP	13465	0.00643	0.771
TEMP	13466	0.00231	0.772
TEMP	13467	0.00097	0.773
TEMP	13468	0.000751	0.773
TEMP	13469	0.00123	0.774
TEMP	13470	0.00291	0.776
TEMP	13471	0.00933	0.783
TEMP	13472	0.0183	0.798
TEMP	13473	0.0173	0.813
TEMP	13474	0.00845	0.819
TEMP	13475	0.00281	0.820
TEMP	13476	0.000877	0.820
TEMP	13477	0.000337	0.819
TEMP	13478	0.000208	0.819
TEMP	13479	0.000376	0.819
TEMP	13480	0.000664	0.820
TEMP	13481	0.00195	0.822
TEMP	13482	0.00638	0.828
TEMP	13483	0.0161	0.844
TEMP	13484	0.0144	0.858
TEMP	13485	0.00992	0.866
TEMP	13486	0.00408	0.866
TEMP	13487	0.0017	0.864
TEMP	13488	0.000604	0.862
TEMP	13489	0.000358	0.860
TEMP	13490	0.000264	0.858
TEMP	13491	0.000401	0.856
TEMP	13492	0.000736	0.855
TEMP	13493	0.00132	0.855
TEMP	13494	0.00296	0.857
TEMP	13495	0.00426	0.861
TEMP	13496	0.00441	0.865
TEMP	13497	0.00309	0.867
TEMP	13498	0.00241	0.869
TEMP	13499	0.00157	0.870
TEMP	13500	0.0019	0.870
TEMP	13501	0.00247	0.871
TEMP	13502	0.00346	0.871
TEMP	13503	0.00407	0.871
TEMP	13504	0.00499	0.873
TEMP	13505	0.00543	0.876
TEMP	13506	0.00431	0.878
TEMP	13507	0.00448	0.881
TEMP	13508	0.00587	0.886
TEMP	13509	0.00397	0.889
TEMP	13510	0.00296	0.891
TEMP	13511	0.00157	0.891
TEMP	13512	0.0011	0.890
TEMP	13513	0.00118	0.889
TEMP	13514	0.000795	0.889
TEMP	13515	0.000851	0.888
TEMP	13516	0.000939	0.887
TEMP	13517	0.00116	0.886
TEMP	13518	0.00135	0.879
TEMP	13519	0.00216	0.868
TEMP	13520	0.00256	0.854
TEMP	13521	0.00278	0.845
TEMP	13522	0.00217	0.841
TEMP	13523	0.00166	0.839
TEMP	13524	0.0011	0.837
TEMP	13525	0.000659	0.835
TEMP	13526	0.000592	0.833
TEMP	13527	0.000634	0.830
TEMP	13528	0.000842	0.827
TEMP	13529	0.00149	0.825
TEMP	13530	0.00274	0.821
TEMP	13531	0.00372	0.817
TEMP	13532	0.00706	0.811
TEMP	13533	0.0117	0.810
TEMP	13534	0.0118	0.813
TEMP	13535	0.00609	0.814
TEMP	13536	0.00348	0.815
TEMP	13537	0.00207	0.816
TEMP	13538	0.00154	0.815
TEMP	13539	0.00127	0.814
TEMP	13540	0.0016	0.812
TEMP	13541	0.00328	0.809
TEMP	13542	0.005	0.808
TEMP	13543	0.00713	0.812
TEMP	13544	0.007	0.816
TEMP	13545	0.00769	0.822
TEMP	13546	0.00442	0.824
TEMP	13547	0.00269	0.824
TEMP	13548	0.00152	0.822
TEMP	13549	0.00131	0.819
TEMP	13550	0.00156	0.816
TEMP	13551	0.00221	0.810
TEMP	13552	0.0031	0.802
TEMP	13553	0.00384	0.798
TEMP	13554	0.0043	0.796
TEMP	13555	0.00298	0.797
TEMP	13556	0.00255	0.798
TEMP	13557	0.00227	0.798
TEMP	13558	0.00149	0.797
TEMP	13559	0.00101	0.792
TEMP	13560	0.000914	0.778
TEMP	13561	0.00117	0.764
TEMP	13562	0.00164	0.753
TEMP	13563	0.00314	0.750
TEMP	13564	0.00398	0.750
TEMP	13565	0.00485	0.751
TEMP	13566	0.00431	0.753
TEMP	13567	0.00218	0.752
TEMP	13568	0.0012	0.749
TEMP	13569	0.000748	0.744
TEMP	13570	0.000819	0.739
TEMP	13571	0.00136	0.732
TEMP	13572	0.00404	0.726
TEMP	13573	0.011	0.723
TEMP	13574	0.0125	0.725
TEMP	13575	0.00794	0.727
TEMP	13576	0.00276	0.726
TEMP	13577	0.000831	0.724
TEMP	13578	0.000387	0.722
TEMP	13579	0.000407	0.718
TEMP	13580	0.000587	0.712
TEMP	13581	0.000892	0.701
TEMP	13582	0.00144	0.690
TEMP	13583	0.00163	0.681
TEMP	13584	0.00123	0.677
TEMP	13585	0.000754	0.674
TEMP	13586	0.000468	0.670
TEMP	13587	0.00032	0.663
TEMP	13588	0.000269	0.654
TEMP	13589	0.00026	0.643
TEMP	13590	0.000244	0.636
TEMP	13591	0.000301	0.632
TEMP	13592	0.000542	0.630
TEMP	13593	0.00136	0.630
TEMP	13594	0.00215	0.631
TEMP	13595	0.00275	0.631
TEMP	13596	0.0019	0.627
TEMP	13597	0.000952	0.616
TEMP	13598	0.000561	0.597
TEMP	13599	0.000382	0.570
TEMP	13600	0.000759	0.545
TEMP	13601	0.00167	0.534
TEMP	13602	0.00392	0.531
TEMP	13603	0.00715	0.536
TEMP	13604	0.0101	0.545
TEMP	13605	0.00743	0.551
TEMP	13606	0.004	0.553
TEMP	13607	0.00187	0.550
TEMP	13608	0.000975	0.540
TEMP	13609	0.000705	0.517
TEMP	13610	0.000905	0.483
TEMP	13611	0.00133	0.464
TEMP	13612	0.0031	0.460
TEMP	13613	0.00483	0.463
TEMP	13614	0.00377	0.466
TEMP	13615	0.00243	0.467
TEMP	13616	0.00107	0.467
TEMP	13617	0.000543	0.465
TEMP	13618	0.000304	0.456
TEMP	13619	0.000281	0.438
TEMP	13620	0.000498	0.421
TEMP	13621	0.000987	0.413
TEMP	13622	0.00146	0.412
TEMP	13623	0.00201	0.413
TEMP	13624	0.00164	0.414
TEMP	13625	0.000964	0.415
TEMP	13626	0.00054	0.415
TEMP	13627	0.00034	0.415
TEMP	13628	0.000255	0.413
TEMP	13629	0.000262	0.407
TEMP	13630	0.00033	0.392
TEMP	13631	0.000495	0.378
TEMP	13632	0.000871	0.369
TEMP	13633	0.000932	0.365
TEMP	13634	0.00109	0.365
TEMP	13635	0.000973	0.365
TEMP	13636	0.00065	0.365
TEMP	13637	0.000396	0.366
TEMP	13638	0.000299	0.365
TEMP	13639	0.000317	0.365
TEMP	13640	0.000654	0.364
TEMP	13641	0.00101	0.362
TEMP	13642	0.0019	0.360
TEMP	13643	0.00143	0.357
TEMP	13644	0.000834	0.355
TEMP	13645	0.000323	0.353
TEMP	13646	9.63e-05	0.351
TEMP	13647	4.26e-05	0.349
TEMP	13648	2.43e-05	0.347
TEMP	13649	2.68e-05	0.344
TEMP	13650	5.22e-05	0.340
TEMP	13651	6.97e-05	0.335
TEMP	13652	9.31e-05	0.329
TEMP	13653	8.67e-05	0.325
TEMP	13654	4.99e-05	0.321
TEMP	13655	2.06e-05	0.315
TEMP	13656	7.03e-06	0.311
TEMP	13657	4.35e-06	0.308
TEMP	13658	3.81e-06	0.306
TEMP	13659	6.82e-06	0.305
TEMP	13660	1.85e-05	0.304
TEMP	13661	5.13e-05	0.303
TEMP	13662	0.000127	0.303
TEMP	13663	0.000154	0.302
TEMP	13664	0.000124	0.301
TEMP	13665	5.82e-05	0.299
TEMP	13666	2.17e-05	0.297
TEMP	13667	9.65e-06	0.295
